2020-06-10 16:49:06,736 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2020-06-10 17:08:31,514 [Worker-2] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updating index for repository: central|https://repo.maven.apache.org/maven2
2020-06-10 17:26:40,140 [Worker-2] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updated index for repository: central|https://repo.maven.apache.org/maven2 in 1088627 ms
2020-06-10 17:39:47,987 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2020-06-10 17:42:39,387 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.team1280.robotsim:RobotSim2.0:0.0.1-SNAPSHOT @ D:\Programs\Java\RobotSim2.0\RobotSim2.0\pom.xml.
2020-06-10 17:42:41,786 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RobotSim2.0/src/main/java
2020-06-10 17:42:41,787 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RobotSim2.0/src/main/resources
2020-06-10 17:42:41,788 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RobotSim2.0/src/test/java
2020-06-10 17:42:41,788 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RobotSim2.0/src/test/resources
2020-06-10 17:42:44,351 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-10 17:42:44,363 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-06-10 17:42:44,367 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-10 17:42:44,372 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-06-10 17:50:26,279 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.team1280.robotsim:RobotSim2.0:0.0.1-SNAPSHOT @ D:\Programs\Java\RobotSim2.0\RobotSim2.0\pom.xml.
2020-06-10 17:50:26,689 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-10 17:50:26,710 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-06-10 17:50:26,712 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-10 17:50:26,724 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
